Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Exited
Marino,492,Germany,Female,52,8,125396.24,1,No,10014.72,Yes
Mackenzie,641,Germany,Male,41,7,104405.54,3,No,17384.21,No
Sutherland,518,France,Female,27,1,133801.49,1,Yes,143315.57,No
Nicolay,623,Spain,Female,40,4,0,3,No,31669.18,No
Lori,733,France,Female,28,5,0,2,No,12761.16,No
Piazza,625,Germany,Male,42,6,100047.33,1,No,93429.95,No
Somerville,759,France,Female,31,1,109848.6,1,Yes,42012.55,No
Christie,604,France,Female,32,7,127849.38,1,No,15798.7,No
Grave,512,Spain,Female,46,3,0,2,Yes,56408.14,No
Lori,520,France,Female,29,8,95947.76,1,No,4696.44,No
Iloerika,805,Spain,Male,26,2,0,2,Yes,25042.1,No
Muir,626,France,Male,43,4,137638.69,1,No,130442.08,Yes
Pauley,656,France,Male,38,10,0,1,Yes,136521.82,No
Kao,785,Spain,Male,41,7,0,2,Yes,199108.88,No
Grant,553,France,Male,31,6,0,,No,124596.63,No
Chukwuma,569,France,Female,44,4,0,2,No,134394.78,No
Vincent,670,France,Male,38,10,89416.99,1,No,144275.39,No
Lazareva,586,Spain,Male,42,6,0,2,Yes,123410.23,No
Ch'ien,617,Spain,Female,45,1,0,1,No,143298.06,No
Bishop,508,France,Female,60,7,143262.04,1,Yes,129562.74,No
Chibuzo,624,Spain,Female,35,7,119656.45,2,Yes,4595.05,No
Chang,654,France,Male,29,4,132954.64,1,Yes,146715.07,No
Calabrese,681,Germany,Female,44,3,105206.7,2,Yes,163558.36,No
Tokaryev,578,Spain,Male,28,4,0,2,No,6947.09,No
Logan,621,Spain,Female,37,9,83061.26,2,No,9170.54,No
Ozerova,632,France,Male,40,5,147650.68,1,Yes,199674.83,No
Goering,644,France,Male,44,5,73348.56,1,No,157166.79,Yes
Lo,821,France,Male,28,2,0,2,No,46072.52,No
Simmons,754,France,Female,38,2,0,2,No,3524.69,No
Maduabuchim,568,Spain,Female,27,1,116320.68,1,Yes,45563.94,No
Linger,584,France,Male,33,3,0,2,Yes,59103.13,No
Yeh,549,France,Female,29,8,0,2,Yes,189558.44,No
Stevenson,729,France,Female,38,7,0,2,No,45779.9,No
Ifeatu,523,France,Male,61,8,66250.71,1,Yes,21859.06,No
Kenechukwu,477,Germany,Female,24,2,95675.62,2,No,162699.7,Yes
Learmonth,675,Germany,Male,42,2,92616.64,2,No,8567.18,No
Dickson,782,Spain,Female,41,4,0,1,No,132943.88,No
Volkova,616,Spain,Female,36,6,0,1,Yes,12916.32,Yes
Mitchell,738,Spain,Female,37,8,100565.94,1,Yes,128799.86,No
Wong,717,Spain,Female,42,5,190305.78,,No,99347.8,Yes
James,526,Germany,Female,35,9,118536.4,1,No,40980.87,Yes
Shao,660,France,Male,19,5,127649.64,1,Yes,40368.65,No
Walton,525,France,Male,35,7,165358.77,1,Yes,94738.54,No
Stanley,629,Spain,Male,29,6,0,2,Yes,88842.8,No
Watson,616,Germany,Female,36,10,78249.53,1,No,136934.91,No
Folliero,521,Germany,Female,61,0,125193.96,1,Yes,109356.53,No
Fitzgerald,691,France,Female,29,9,0,2,No,199635.93,No
Garner,687,Germany,Female,41,2,154007.21,1,No,158408.23,No
Folliero,677,Spain,Female,43,3,133214.88,2,Yes,95936.84,No
Liao,695,Spain,Male,63,1,146202.93,1,Yes,126688.83,Yes
Lucchesi,663,France,Female,27,9,0,2,No,150850.29,No
Chan,496,France,Male,30,0,90963.49,1,Yes,27802,No
Ma,747,Spain,Male,41,9,0,1,No,32430.94,Yes
Nwabugwu,546,France,Female,52,2,0,1,No,137332.37,Yes
P'eng,706,Spain,Male,68,4,114386.85,1,Yes,28601.68,No
Andrews,472,France,Female,26,5,0,,No,108411.66,No
Otutodilinna,703,France,Female,40,7,0,2,Yes,122518.5,No
Grant,850,France,Female,38,2,0,2,No,9015.07,No
Abramovich,667,Spain,Male,71,4,137260.78,1,Yes,94433.08,Yes
Komarova,559,France,Male,33,9,111060.05,2,No,110371.84,No
Otutodilichukwu,636,Spain,Male,60,7,124447.73,1,Yes,141364.62,Yes
Donaldson,672,France,Female,34,8,0,2,Yes,16245.25,No
Duggan,667,France,Male,42,7,0,1,Yes,108348.94,Yes
Chinwendu,648,Germany,Male,33,7,135310.41,2,Yes,171668.2,No
Hamilton,497,France,Male,32,8,0,2,No,67364.42,No
Smith,743,France,Female,73,6,0,2,Yes,107867.38,No
Mazzi,619,France,Male,29,5,0,2,No,194310.1,No
Krischock,639,Spain,Male,34,5,139393.19,2,No,33950.08,No
Kent,540,Spain,Male,28,8,0,2,No,197588.32,No
Binder,766,France,Female,26,3,104258.8,1,Yes,428.23,No
Zubarev,749,France,Female,26,6,0,2,Yes,34948.77,No
Degtyarev,655,Germany,Male,32,9,113447.01,1,No,82084.3,No
Obialo,630,France,Male,33,9,0,2,No,64804.59,No
Davydova,778,Germany,Female,33,4,111063.73,2,No,83556.65,No
Teng,757,Germany,Female,30,6,161378.02,1,No,71926.28,Yes
Hsing,529,Spain,Female,39,2,82766.43,1,Yes,122925.44,No
Coleman,620,Spain,Male,29,9,0,2,No,13133.88,No
Wilder,615,France,Female,61,1,104267.7,1,No,62845.64,Yes
Molineux,735,France,Female,25,3,91718.8,1,No,28411.23,No
Cocci,705,Spain,Female,47,3,63488.7,1,Yes,28640.92,Yes
Chikwendu,644,Spain,Female,46,6,12459.19,1,No,156787.34,Yes
Fraser,505,Germany,Female,37,6,159863.9,2,Yes,125307.87,No
Lai,471,Germany,Male,23,6,104592.55,2,No,131736.23,No
Korovin,722,Spain,Female,50,4,132088.59,1,Yes,128262.14,No
Sidorov,577,Spain,Female,39,4,0,2,No,91366.42,No
Ibrahimova,744,Spain,Male,44,5,120654.68,1,No,82290.81,No
Duigan,573,France,Female,30,6,0,2,No,66190.21,No
Taylor,653,France,Female,32,4,83772.95,1,Yes,23920.65,No
Donaldson,660,France,Female,31,6,172325.67,1,Yes,45438.38,No
Jobson,787,France,Male,46,7,117685.31,2,Yes,93360.35,No
Lu,617,France,Male,41,7,0,2,Yes,14496.67,No
Nebechi,567,France,Male,39,5,0,2,No,168521.72,No
Cross,682,Spain,Female,64,9,0,2,Yes,103318.44,No
Wallace,684,France,Male,35,6,135871.5,1,Yes,87219.41,No
Perreault,447,France,Male,41,3,0,4,Yes,197490.39,Yes
Manna,625,Germany,Female,49,4,128504.76,1,No,126812.63,Yes
Hsiung,585,France,Male,36,7,0,2,No,94283.09,No
Gibbons,516,France,Female,42,8,56228.25,1,No,46857.52,No
Algeranoff,732,Germany,Female,45,6,98792.4,1,No,81491.7,Yes
Doherty,628,Germany,Male,40,5,181768.32,2,Yes,129107.97,No
Rowe,682,Spain,Female,48,9,101198.01,1,Yes,49732.9,No
Yates,746,France,Male,25,9,0,2,Yes,88728.47,No
Galloway,655,France,Female,60,3,0,2,Yes,86981.45,No
Genovese,644,France,Female,39,9,0,1,No,3740.93,No
Arrington,778,France,Male,34,5,139064.06,2,No,67949.32,No
Miah,617,France,Female,35,2,104508.1,1,Yes,147636.46,No
Chijindum,660,Germany,Male,35,9,113948.58,1,No,188891.96,Yes
Ferguson,537,France,Male,47,10,0,2,Yes,25482.62,No
Smith,554,France,Female,39,10,0,2,Yes,18391.93,No
Marshall,806,France,Male,31,9,0,2,Yes,140168.36,No
P'an,611,Germany,Male,37,1,117524.72,2,Yes,161064.29,No
Burton,665,France,Female,37,5,160389.82,1,Yes,183542.08,No
Kamdibe,648,France,Female,37,7,0,2,No,194238.92,No
Milani,692,France,Male,27,1,125547.53,1,No,7900.46,No
Forbes,507,Spain,Male,46,6,92783.68,1,Yes,51424.29,No
Chiekwugo,696,Germany,Male,49,5,97036.22,2,No,152450.84,Yes
Cousens,681,France,Male,34,3,0,2,No,55816.2,No
Ross,687,France,Female,26,6,0,2,Yes,32909.13,No
Wood,641,Spain,Male,40,5,102145.13,1,Yes,100637.07,No
Hawks,507,France,Female,33,1,113452.66,1,No,142911.99,No
T'ien,688,Spain,Female,46,8,155681.72,1,No,26287.21,No
Ting,535,Germany,Male,38,8,127475.24,1,No,60775.76,Yes
Thynne,701,France,Male,41,10,0,2,Yes,146257.77,No
Wang,488,France,Male,43,10,112751.13,1,Yes,28332,No
Maclean,539,France,Female,29,4,0,2,Yes,100919.19,No
Watson,674,France,Male,45,7,144889.18,1,Yes,102591.9,Yes
Gibson,538,Spain,Male,40,8,0,2,Yes,25554.4,No
French,829,France,Female,22,7,150126.44,1,No,152107.93,Yes
Henderson,768,France,Male,54,8,69712.74,1,Yes,69381.05,No
Greenwood,585,Spain,Female,44,4,0,2,Yes,101728.46,No
Anderson,581,France,Male,31,3,0,2,No,89040.61,No
Mistry,682,Germany,Female,35,2,117438.92,2,Yes,16910.98,No
Tuan,653,France,Male,38,8,119315.75,1,No,150468.35,No
Fiorentini,712,France,Female,30,1,89571.59,,Yes,177613.19,No
Scott,620,Germany,Female,34,8,102251.57,1,No,120672.09,No
Jideofor,709,France,Male,42,9,118546.71,1,Yes,77142.85,No
Yevseyev,832,France,Male,61,2,0,1,Yes,127804.66,Yes
Kelly,635,Spain,Male,38,0,103257.14,1,No,158344.63,No
Smith,749,Spain,Female,43,1,124209.02,1,Yes,167179.48,No
Ogle,629,Spain,Male,32,3,0,2,Yes,15404.64,No
Moss,836,Spain,Female,41,7,150302.84,1,Yes,156036.19,No
Loggia,542,Spain,Male,34,8,108653.93,1,Yes,144725.14,No
Nwankwo,645,France,Female,45,8,85325.93,1,No,22558.74,No
Allan,844,France,Female,29,8,0,2,No,147342.03,No
Woronoff,747,Germany,Male,37,9,135776.36,3,No,85470.45,Yes
Wolfe,645,France,Male,40,6,131411.24,1,Yes,194656.11,No
Henderson,752,Spain,Female,36,3,0,2,Yes,48505.1,No
Sutherland,760,Spain,Female,41,6,0,2,No,101491.23,No
Marsden,714,Germany,Female,45,9,106431.97,2,Yes,164117.69,No
Hyde,717,France,Male,50,9,90305.76,1,Yes,124626.57,No
Kao,645,Germany,Male,28,7,117466.03,2,Yes,34490.06,No
T'ang,681,France,Male,32,3,148884.47,2,Yes,90967.37,No
Crawford,681,Germany,Female,44,4,91115.76,2,No,24208.84,Yes
Dilibe,679,Germany,Female,37,8,77373.87,2,Yes,174873.09,No
Austin,528,Spain,Male,23,7,104744.89,1,No,170262.97,No
Santiago,710,France,Female,31,3,0,2,Yes,112289.06,No
Chibugo,733,Germany,Male,39,5,91538.51,1,Yes,93783,No
Toscano,724,France,Female,32,6,0,2,Yes,150026.79,No
Afanasyeva,726,France,Female,34,0,185734.75,1,Yes,102036.82,No
Sokolov,520,France,Male,30,3,143396.54,2,Yes,898.51,No
Wei,556,France,Male,40,5,125909.85,1,Yes,95124.4,No
Olisanugo,579,France,Female,45,2,0,2,No,11514.39,No
Gorman,674,France,Male,36,2,154525.7,1,Yes,27468.72,No
Priestley,570,France,Female,29,0,0,1,No,37092.43,No
Lloyd,631,France,Male,51,8,100654.8,1,No,171587.9,No
Salmond,623,Spain,Male,44,1,83325.77,1,Yes,80828.78,No
MacDonald,665,France,Male,35,8,110934.54,1,No,169287.99,No
Robertson,523,Spain,Female,36,8,113680.54,1,No,13197.44,No
Chukwumaobim,706,Germany,Male,31,1,117020.08,2,No,54439.53,No
Ifeanacho,619,France,Female,49,9,145359.99,1,No,38186.85,No
Li Fonti,593,Germany,Female,39,8,151391.68,1,No,27274.6,Yes
Ko,608,Spain,Male,66,8,123935.35,1,Yes,65758.19,No
Goloubev,526,France,Female,36,0,0,2,No,97767.63,No
Kruglov,684,Spain,Male,40,2,70291.02,1,Yes,115468.84,Yes
Liao,604,Germany,Female,42,10,166031.45,1,No,98293.14,No
White,636,Germany,Male,36,6,96643.32,1,No,182059.28,No
Sinclair,669,Spain,Female,33,8,0,2,Yes,128538.05,No
Fiorentini,624,France,Male,71,7,0,2,Yes,108841.83,No
Shen,631,France,Male,29,2,0,2,Yes,18581.84,No
Rapuokwu,753,France,Male,48,4,0,2,Yes,146821.42,No
Woronoff,588,France,Male,40,5,0,2,No,100727.68,No
Holden,729,Germany,Male,26,4,97268.1,2,No,39356.38,No
Roberts,602,France,Female,42,10,0,2,No,169921.11,Yes
Tsou,689,Germany,Female,55,1,76296.81,1,No,42364.75,Yes
Somerville,486,Spain,Male,27,7,0,2,No,28823.04,No
Greco,809,Germany,Female,42,6,64497.94,3,Yes,182436.81,Yes
Leonard,562,France,Male,38,5,0,1,No,115700.2,No
McKenzie,763,Spain,Female,32,8,0,2,No,16725.53,No
McElhone,669,France,Male,57,5,0,2,Yes,56875.76,No
Dipietro,709,France,Male,39,8,0,2,No,56214.09,No
Kerr,554,Spain,Female,45,4,0,2,Yes,193412.05,No
Hunter,699,France,Male,37,10,0,2,No,83263.04,No
Niehaus,732,Spain,Male,54,0,134249.7,1,Yes,13404.4,No
Craig,625,France,Female,45,3,0,,Yes,184474.15,Yes
Barclay-Harvey,599,France,Male,30,9,105443.68,1,Yes,121124.53,No
Teng,584,Spain,Female,50,1,0,1,Yes,152567.75,Yes
Milani,499,France,Male,35,10,0,2,No,10722.54,No
Mistry,526,Spain,Male,38,2,0,2,No,58010.98,No
Jamieson,625,Germany,Female,35,5,86147.46,2,No,163440.8,Yes
Kay,537,Spain,Female,38,1,96939.06,1,Yes,102606.92,No
Ikedinachukwu,696,Spain,Male,47,1,106758.6,1,Yes,80591.18,No
Holt,679,France,Female,33,9,112528.65,2,No,177362.45,No
Nkemakolam,684,France,Male,60,2,116563.58,1,No,120257.7,Yes
Hartung,850,France,Male,32,4,0,1,Yes,180622.02,No
Ch'en,495,Spain,Female,42,7,0,2,No,130404.53,No
Baker,537,Spain,Female,38,6,141786.78,1,Yes,147797.54,No
Osinachi,850,France,Male,41,3,136416.82,1,Yes,57844.26,No
Shih,513,France,Male,30,5,0,2,No,162523.66,No
Feng,618,Germany,Female,40,1,133245.52,2,Yes,54495.82,No
Sternberg,802,Germany,Female,41,4,90757.64,2,Yes,169183.66,No
Adams,547,France,Male,43,1,92350.36,1,Yes,80262.91,No
Gray,613,Germany,Male,69,9,78778.49,1,Yes,8751.59,No
Shepherd,592,Germany,Female,34,6,102143.93,2,Yes,102628.98,No
Walton,546,France,Male,29,5,0,1,Yes,94823.95,No
Yang,721,Germany,Male,37,4,98459.6,1,No,90821.66,No
Barnett,671,Germany,Female,47,7,114603.76,2,No,153194.32,Yes
Romani,624,Spain,Male,35,2,0,2,No,87310.59,No
Greene,751,Germany,Female,51,7,148074.79,1,No,146411.41,Yes
Hart,636,Spain,Male,36,1,0,3,Yes,74048.1,Yes
Johnston,607,Spain,Female,62,8,108004.64,1,Yes,23386.77,Yes
Miller,509,Germany,Female,29,0,107712.57,2,Yes,92898.17,No
Robson,653,Spain,Male,35,9,0,2,Yes,45956.05,No
Wallace,709,Spain,Female,37,8,0,3,No,71738.56,No
Cross,559,France,Male,32,9,145303.52,1,No,103560.98,No
Marcum,684,Germany,Male,37,4,138476.41,2,Yes,52367.29,No
North,635,France,Female,27,8,127471.56,1,Yes,152916.05,Yes
Mao,709,France,Male,26,6,156551.63,1,Yes,4410.77,No
Calabrese,656,Germany,Female,49,9,97092.87,1,No,74771.22,Yes
Martin,793,France,Male,32,2,0,2,No,193817.63,Yes
Fleming,609,Spain,Male,37,5,129312.79,1,Yes,26793.82,No
Roberts,618,Germany,Female,29,10,100315.1,2,Yes,32526.64,No
Finch,850,France,Female,35,6,81684.97,1,No,824,No
Whitelegge,669,Spain,Male,51,3,88827.53,1,No,85250.77,Yes
Rooke,594,Germany,Male,40,0,152092.44,2,Yes,83508.93,No
Lu,616,Spain,Male,71,4,0,2,Yes,173599.38,No
Marcelo,676,France,Female,49,1,0,1,No,79342.31,Yes
Matthews,608,Spain,Female,38,9,102406.76,1,Yes,57600.66,No
Romani,710,France,Male,21,4,109130.96,2,Yes,56191.99,No
Scott,695,France,Male,29,5,0,2,Yes,6770.44,No
Mao,530,Germany,Male,33,9,75242.28,1,Yes,101694.67,No
Horsley,509,Spain,Male,29,1,0,2,No,69113.14,No
Goddard,517,France,Female,45,4,0,1,No,172674.36,Yes
Eskridge,758,Germany,Male,33,0,129142.54,2,Yes,26606.28,No
Smith,665,France,Male,51,2,0,1,No,53353.36,No
Simpson,631,Germany,Female,22,6,139129.92,1,Yes,63747.51,No
Oguejiofor,576,Spain,Male,33,3,0,2,Yes,190112.05,No
Holloway,544,Spain,Male,22,3,66483.32,1,Yes,110317.39,No
L?,596,Germany,Male,40,5,62389.03,3,No,148623.43,Yes
Feng,481,France,Female,34,5,0,2,Yes,125253.46,No
Claiborne,498,France,Male,46,1,91857.66,1,No,101954.78,Yes
Egobudike,512,Spain,Male,31,6,0,2,No,168462.26,No
Folliero,594,France,Female,56,7,0,1,No,26215.85,Yes
Bray,570,France,Female,30,10,176173.52,1,No,97045.32,Yes
Ibrahimov,721,Spain,Male,38,7,0,1,Yes,53534.8,No
Carpenter,453,France,Female,37,4,131834.76,2,No,8949.2,No
Walsh,562,France,Male,48,3,92347.96,1,Yes,163116.75,No
Woods,682,France,Male,40,4,0,2,Yes,140745.91,No
Wu,748,France,Male,40,3,95297.11,1,No,171515.84,No
Forbes,729,France,Female,32,9,0,2,No,150803.44,No
Lynch,663,France,Male,39,4,0,1,No,76884.05,No
Amaechi,735,France,Female,53,8,123845.36,2,Yes,170454.93,Yes
Enriquez,627,Germany,Male,62,3,143426.34,2,Yes,143104.3,No
Y?an,713,France,Male,46,5,0,1,Yes,55701.62,No
Brooks,562,Germany,Male,31,2,112708.2,1,Yes,186370.3,No
Wang,632,France,Male,43,2,100013.51,1,No,24275.32,No
Burke,479,France,Female,33,2,208165.53,1,No,50774.81,Yes
Meng,658,Spain,Male,21,7,0,2,Yes,154279.87,No
Chiganu,598,France,Female,40,9,0,1,No,68462.59,Yes
Hunt,597,France,Male,19,2,0,2,Yes,91036.74,No
Lucchese,512,France,Female,33,6,121685.31,2,Yes,83681.97,No
Humphries,704,France,Male,39,2,111525.02,1,No,199484.96,No
Frolova,474,France,Male,26,6,0,2,No,152491.22,No
Hsing,604,Germany,Male,36,10,113546.3,1,Yes,134875.37,No
Parkes,683,France,Male,41,6,95696.52,2,Yes,184366.14,No
Gregory,537,France,Male,28,0,88963.31,2,Yes,189839.93,No
Obiuto,794,Spain,Male,31,0,144880.34,2,Yes,175643.44,No
Longo,732,France,Male,55,9,136576.02,1,Yes,3268.17,Yes
Lombardo,495,France,Female,38,2,63093.01,1,Yes,47089.72,No
Lombardo,552,Germany,Male,38,10,132271.12,2,Yes,46562.02,No
Gonzalez,602,France,Female,29,3,88814.4,2,Yes,62487.97,No
Nwabugwu,607,Germany,Male,40,5,90594.55,1,Yes,181598.25,No
Ford,675,Germany,Female,33,0,141816.25,1,No,64815.05,Yes
Gilleland,443,France,Female,54,3,138547.97,1,Yes,70196.23,Yes
Fullwood,727,France,Female,31,2,52192.08,2,Yes,160383.47,No
Kao,482,France,Male,38,4,124976.19,1,No,35848.12,No
Montalvo,686,France,Female,34,1,0,2,No,87278.48,No
Wilson,588,Germany,Male,35,3,104356.38,1,No,94498.82,No
Doyne,605,Spain,Female,48,10,150315.92,1,Yes,133486.36,No
Onwuamaeze,583,France,Male,39,1,129299.28,2,No,73107.6,No
K'ung,738,Germany,Male,37,7,140950.92,2,No,195333.98,No
O'Donnell,744,Spain,Male,30,1,128065.12,1,No,121525.48,No
McMillan,781,France,Male,23,2,107433.48,1,No,173843.21,No
Chinedum,699,France,Male,34,2,117468.67,1,No,185227.42,No
Capon,639,France,Female,27,2,0,2,No,125244.18,No
Rawling,583,France,Female,27,4,0,3,No,163113.41,No
Duncan,587,France,Male,42,1,0,1,No,123006.91,No
Trevisani,694,France,Male,40,9,0,2,No,40463.03,No
Ankudinova,570,France,Female,29,4,153040.03,1,Yes,131363.57,Yes
Balsillie,692,Germany,Male,45,6,142084.04,4,No,188305.85,Yes
Kerr,511,France,Female,30,5,0,2,No,143994.86,No
Worsnop,788,France,Male,32,4,112079.58,1,No,89368.59,No
Yevseyev,526,Spain,Male,66,7,132044.6,2,Yes,158365.89,No
Manna,749,Spain,Female,46,9,66582.81,1,No,78753.12,Yes
Siciliani,691,France,Female,33,6,0,2,Yes,100408.31,No
Powell,481,France,Female,39,6,0,1,Yes,24677.54,No
Bazarova,752,France,Male,33,4,0,2,Yes,39570.78,No
White,658,France,Female,38,6,102895.1,1,No,155665.76,No
Buda,679,Spain,Male,42,2,0,1,Yes,168294.27,No
Cattaneo,754,Germany,Male,27,7,117578.35,2,Yes,87908.01,No
Lo,679,France,Male,47,10,198546.1,2,No,191198.92,Yes
Brown,633,Spain,Female,39,2,0,2,No,191207.03,No
Rose,674,France,Female,31,1,0,1,No,128954.05,No
Lombardo,600,Germany,Male,28,2,116623.31,1,Yes,59905.29,No
McMillan,645,Spain,Male,49,8,0,2,No,162012.6,No
Howe,698,France,Male,36,6,0,2,Yes,19231.98,No
Hsu,508,Spain,Male,54,10,0,1,Yes,175749.36,No
Han,555,France,Female,44,3,105770.7,3,No,60533.96,Yes
Calabrese,751,France,Female,48,9,0,1,No,137508.42,Yes
Riley,738,France,Female,39,1,94435.45,2,Yes,189430.86,No
Biryukov,706,Germany,Female,39,8,112889.91,1,Yes,6723.66,No
Broadhurst,595,France,Female,53,7,0,2,No,41371.68,Yes
Genovesi,577,Germany,Female,43,3,127940.47,1,No,125140.72,Yes
Hsieh,578,Germany,Female,36,8,129745.1,1,Yes,143683.75,No
Kemp,699,France,Male,32,3,0,2,Yes,170770.44,No
Chukwudi,826,France,Female,30,5,0,2,Yes,157397.57,No
Iqbal,656,Germany,Female,46,7,141535.52,1,No,50595.15,Yes
Teng,556,France,Female,47,2,139914.27,1,Yes,50390.98,No
Tao,569,France,Male,41,4,120243.49,1,No,163150.03,Yes
Chinedum,765,France,Male,34,9,91835.16,1,No,138280.17,No
Stevenson,544,Spain,Male,37,2,0,2,No,135067.02,No
Duncan,588,Spain,Female,22,9,67178.19,1,Yes,163534.75,Yes
Garrett,740,Spain,Female,31,8,0,2,No,86657.48,No
Yao,850,Spain,Male,38,7,115378.94,1,Yes,162087.82,No
He,766,Germany,Male,30,4,127786.28,2,Yes,28879.3,No
Mazzi,849,France,Female,41,6,0,2,Yes,169203.51,Yes
Edwards,612,France,Female,33,0,64900.32,2,No,102426.12,No
Lucchesi,517,Germany,Male,53,0,109172.88,1,No,54676.1,Yes
Siciliani,645,France,Female,55,7,0,2,Yes,18369.33,No
Shih,696,Germany,Male,43,4,114091.38,1,Yes,159888.1,No
Logue,716,France,Female,40,3,0,2,Yes,167636.15,No
Rechner,590,France,Male,32,9,0,2,No,138889.15,No
O'Brien,656,France,Female,45,7,145933.27,1,Yes,199392.14,No
Stewart,473,Germany,Female,35,7,131504.73,1,No,189560.43,No
Batt,742,Germany,Female,44,8,107926.02,1,Yes,17375.27,Yes
Hope,834,Germany,Female,57,8,112281.6,3,No,140225.14,Yes
Ahmed,721,France,Male,41,7,0,2,Yes,61018.85,No
Pearson,590,Spain,Male,29,10,0,1,Yes,51907.72,Yes
Kruglov,516,Spain,Female,31,7,0,1,No,47018.75,No
Gordon,850,France,Male,33,0,124781.67,1,Yes,33700.52,No
Trujillo,748,France,Female,39,9,132865.56,1,Yes,59636.43,Yes
Pagnotto,798,Germany,Female,38,4,129055.13,1,No,157147.59,No
Horton,612,Germany,Male,76,6,96166.88,1,Yes,191393.26,No
DeRose,540,France,Female,40,3,165298.12,1,Yes,199862.75,No
Chiang,719,Spain,Female,33,7,0,2,No,20016.59,No
Gill,598,France,Male,48,6,120682.53,1,No,30635.52,Yes
Trevisano,796,Spain,Male,32,5,102773.15,2,Yes,117832.88,No
Morrison,579,Germany,Male,42,0,144386.32,1,Yes,22497.1,Yes
Onuora,850,Germany,Female,40,7,104449.8,1,Yes,747.88,No
Ikenna,599,Spain,Male,35,6,137102.65,1,No,76870.81,No
Mancini,724,France,Female,30,9,142475.87,1,Yes,107848.24,No
Moss,508,France,Female,43,9,0,1,No,103726.71,No
Ting,773,Spain,Male,37,2,103195.2,2,No,178268.36,No
Tai,526,France,Male,28,1,112070.44,1,Yes,126281.83,No
Pan,542,France,Female,29,7,0,2,Yes,196651.72,No
Wilson,470,France,Male,35,1,96473.59,1,No,5962.3,No
Bianchi,805,Spain,Male,37,5,0,2,No,21928.81,No
Holman,548,Germany,Male,49,9,108437.89,1,No,127022.87,Yes
Obidimkpa,672,France,Male,37,5,153195.59,1,Yes,162763.01,No
Wallace,773,France,Male,45,8,96877.21,1,Yes,113950.51,No
Ash,614,France,Male,44,6,0,2,Yes,104930.46,No
Ku,537,France,Female,38,10,0,1,No,52337.97,Yes
Uspensky,704,France,Female,40,6,95452.89,1,Yes,179964.55,No
Shih,586,Spain,Male,41,3,63873.56,1,No,83753.64,No
Kumm,677,France,Female,24,0,148298.59,2,No,182913.95,No
Carey,558,Spain,Female,31,7,0,2,No,166720.28,No
Farber,634,Germany,Female,37,7,143258.85,2,No,192721.98,No
Calabrese,655,Germany,Male,37,9,121342.24,1,Yes,180241.44,No
Findlay,619,Germany,Female,28,6,99152.73,2,No,48475.12,No
Yu,662,France,Female,41,4,0,2,No,126551.48,No
Edments,705,Spain,Male,33,7,68423.89,1,Yes,64872.55,No
Brown,527,Spain,Female,35,8,0,1,No,98031.53,Yes
Lindon,630,Germany,Female,25,7,79656.81,1,No,93524.22,No
Chukwudi,850,France,Male,35,2,0,2,Yes,56991.66,No
Caldwell,668,France,Female,53,10,110240.04,1,No,183980.56,Yes
Li Fonti,573,France,Female,32,9,125321.84,2,Yes,130234.63,No
Pitcher,680,France,Male,27,3,0,1,No,32454.26,No
Capon,758,France,Female,32,2,84378.9,1,Yes,75396.43,No
Kable,597,France,Male,45,7,0,2,No,167756.45,No
Lo Duca,580,Germany,Male,35,10,136281.41,2,Yes,24799.47,No
Kulikova,622,France,Male,59,5,119380.37,1,Yes,60429.43,No
Navarrete,638,Germany,Male,62,4,108716.59,2,Yes,74241.09,No
Huguley,640,France,Female,20,4,0,2,Yes,78310.82,No
Han,644,Spain,Male,28,0,0,2,No,119419.37,No
Horsley,753,France,Female,31,6,106596.29,1,No,91305.77,No
Massie,629,France,Female,37,10,99546.25,3,Yes,25136.95,Yes
Singh,775,France,Female,30,5,0,1,No,193880.6,Yes
H?,701,France,Female,41,2,0,1,No,47856.78,No
Doyle,708,Spain,Male,19,7,112615.86,1,Yes,4491.77,No
Grant,521,Spain,Female,22,10,0,1,Yes,101311.95,No
Law,636,France,Female,24,9,0,2,Yes,38830.72,No
King,529,France,Female,31,5,0,2,No,26817.23,No
Onwubiko,757,France,Male,28,3,75381.15,1,Yes,199727.72,No
Romano,767,Spain,Female,24,5,0,2,Yes,67445.85,No
Okwudilichukwu,525,Spain,Male,33,5,0,2,No,161002.29,No
Milano,759,Spain,Male,38,1,0,2,No,20778.39,No
Parker,520,Germany,Female,45,1,123086.39,1,Yes,41042.4,Yes
Aitken,738,France,Female,26,3,0,2,No,67484.16,No
Obiora,548,Spain,Male,37,4,0,1,No,121763.68,No
Vasilyeva,535,Spain,Male,48,9,109472.47,1,No,157358.43,Yes
Chiabuotu,615,Spain,Male,59,4,155766.05,1,Yes,110275.17,No
Slater,850,Germany,Male,38,7,101985.81,2,No,43801.27,No
Hughes,487,France,Female,34,2,96019.5,1,No,9085,No
Menkens,731,France,Male,30,7,0,2,Yes,143086.09,No
Pisani,726,Spain,Female,35,9,0,2,Yes,100556.98,No
Y?an,609,France,Female,35,2,147900.43,1,No,140000.29,No
Milani,714,France,Male,52,4,100755.66,1,Yes,186775.25,No
Chin,694,Spain,Female,35,7,0,1,No,133570.43,Yes
Fu,786,France,Female,33,0,83036.05,1,Yes,154990.58,Yes
